constraint_catalog                      constraint_schema                       constraint_name                         table_catalog                           table_schema                            table_name                              column_name                             ordinal_position                        KeyType                                 index_name                              
TestSite                                dbo                                     PK_PE_GroupSpecialPermissions           TestSite                                dbo                                     PE_GroupSpecialPermissions              IDType                                  4                                       56                                      PK_PE_GroupSpecialPermissions           
TestSite                                dbo                                     PK_PE_GroupSpecialPermissions           TestSite                                dbo                                     PE_GroupSpecialPermissions              OperateCode                             2                                       56                                      PK_PE_GroupSpecialPermissions           
TestSite                                dbo                                     PK_PE_GroupSpecialPermissions           TestSite                                dbo                                     PE_GroupSpecialPermissions              SpecialID                               3                                       56                                      PK_PE_GroupSpecialPermissions           
TestSite                                dbo                                     PK_IncludeFile_ID                       TestSite                                dbo                                     PE_IncludeFile                          ID                                      1                                       56                                      PK_IncludeFile_ID                       
TestSite                                dbo                                     PK_PE_Indent                            TestSite                                dbo                                     PE_Indent                               IndentID                                1                                       56                                      PK_PE_Indent                            
TestSite                                dbo                                     PK_PE_IndentItem                        TestSite                                dbo                                     PE_IndentItem                           ItemID                                  1                                       56                                      PK_PE_IndentItem                        
TestSite                                dbo                                     PK_PE_InfoNextProcessRoles              TestSite                                dbo                                     PE_InfoNextProcessRoles                 GeneralID                               1                                       56                                      PK_PE_InfoNextProcessRoles              
TestSite                                dbo                                     PK_PE_InfoNextProcessRoles              TestSite                                dbo                                     PE_InfoNextProcessRoles                 RoleID                                  2                                       56                                      PK_PE_InfoNextProcessRoles              
TestSite                                dbo                                     IX_PE_InvoiceItem_InvoiceNum            TestSite                                dbo                                     PE_InvoiceItem                          InvoiceNum                              1                                       231                                     IX_PE_InvoiceItem_InvoiceNum            
TestSite                                dbo                                     IX_PE_InvoiceItem_OrderID               TestSite                                dbo                                     PE_InvoiceItem                          OrderID                                 1                                       56                                      IX_PE_InvoiceItem_OrderID               
TestSite                                dbo                                     IX_PE_InvoiceItem_UserName              TestSite                                dbo                                     PE_InvoiceItem                          UserName                                1                                       231                                     IX_PE_InvoiceItem_UserName              
TestSite                                dbo                                     PK_PE_InvoiceItem_InvoiceID             TestSite                                dbo                                     PE_InvoiceItem                          InvoiceID                               1                                       56                                      PK_PE_InvoiceItem_InvoiceID             
TestSite                                dbo                                     PK_PE_Keywords_KeywordID                TestSite                                dbo                                     PE_Keywords                             KeywordID                               1                                       56                                      PK_PE_Keywords_KeywordID                
TestSite                                dbo                                     PK_PE_Log_LogID                         TestSite                                dbo                                     PE_Log                                  LogID                                   1                                       56                                      PK_PE_Log_LogID                         
TestSite                                dbo                                     PK_PE_MailList                          TestSite                                dbo                                     PE_MailList                             ID                                      1                                       56                                      PK_PE_MailList                          
